	logFC	logCPM	F	PValue	FDR
AT2G29720	2.98451540757744	2.98637300068338	5.41137141549658	1.60832158331097e-09	3.06015347656579e-05
AT1G26380	4.86299791231954	4.87434344257962	4.72622531853745	4.30085674056827e-09	4.09162006013962e-05
AT4G23280	4.65751192964915	4.67460131309943	3.94282625627571	9.98580562553318e-09	5.06164877691432e-05
AT1G26420	3.73875858162525	3.74334842164592	4.88081961737287	1.06409812937706e-08	5.06164877691432e-05
AT1G21120	4.28814219527084	4.29744634021171	4.42960575553851	2.99629678705399e-08	0.000114021077934552
AT2G39518	2.976710920303	2.9790974837763	5.0467937455953	6.04414576556543e-08	0.000191669935802356
AT3G57460	4.56053743418346	4.58936999666139	3.1136621147761	7.36437819939361e-08	0.000200174319999803
AT1G51890	2.77193344106346	2.77342320601346	5.50360438504097	1.14193843111104e-07	0.000264003488496304
AT4G21120	4.00873574082046	4.03045272357153	2.9529552007293	1.38500058274947e-07	0.000264003488496304
AT3G52450	2.55162004108197	2.5552015850189	4.01840924258593	1.38752030533612e-07	0.000264003488496304
AT4G11890	3.24299993282682	3.24518356668819	5.45025297418739	2.25688670984325e-07	0.000372315231999407
AT4G20860	2.18730305365573	2.18822306936818	5.57935692281474	2.34812780995054e-07	0.000372315231999407
AT4G18253	2.88042270742516	2.88638212093844	3.65054328563376	3.32001867489871e-07	0.000485923040979213
AT5G57220	3.27042843595143	3.27320754822149	5.1309510586296	4.02063080322761e-07	0.000543696787132989
AT1G02920	2.82853750914946	2.82870062134494	8.74890089427743	4.28625206653431e-07	0.000543696787132989
AT5G26340	2.50529710283091	2.50594281002881	6.43247240614178	5.16084308083422e-07	0.000613721008118955
AT5G61890	3.70166187045925	3.72103286038472	2.82895245648293	6.99352256016363e-07	0.00070613295136736
AT3G26500	2.43427083774411	2.43740344763653	4.08660348069489	7.06201439694056e-07	0.00070613295136736
AT1G26410	4.93174920085773	5.01402560755144	2.02336532058599	7.40420074426681e-07	0.00070613295136736
AT2G19190	4.3420295747667	4.34343000087458	7.19523532703729	7.42243077066653e-07	0.00070613295136736
AT1G30700	3.1167117448341	3.12156248648658	4.19424681559247	9.75194217171213e-07	0.000850172161947715
AT2G17740	3.50273592397093	3.50480185999244	5.79123655782018	9.94787267221197e-07	0.000850172161947715
AT1G02930	2.68690204289135	2.6869941009484	9.42568893304431	1.03250123442581e-06	0.000850172161947715
AT4G04540	3.52552220566957	3.5648603352634	1.70445267561321	1.07329333345662e-06	0.000850172161947715
AT1G15520	2.2242835876414	2.22636165512527	4.45820056726975	1.14593664201637e-06	0.000850172161947715
AT1G30720	2.34371601832712	2.3473071942834	3.79675329432554	1.1617425874095e-06	0.000850172161947715
AT5G20230	2.66449178912121	2.66594181976137	5.42398069569519	1.2559569488741e-06	0.000867702935757991
AT4G23220	3.01589255870568	3.01966014469868	4.42904364001899	1.27690556583927e-06	0.000867702935757991
AT3G18250	4.0159412996238	4.02950877587971	3.63623227209036	1.40714179376634e-06	0.000903440653278795
AT2G38860	2.19119465892513	2.19157633816135	6.84517585214252	1.42446100795521e-06	0.000903440653278795
AT5G36925	3.5165783782659	3.52050354749602	4.89214404127069	1.52455046680337e-06	0.000935729733286058
AT1G05675	4.8276916717254	4.85055601075366	3.73710946823618	1.57387884623263e-06	0.000935818525227131
AT5G24110	4.64551057884959	4.65957547485819	4.22907850913462	1.70553214255631e-06	0.00095987853311534
AT5G25250	2.57775965959631	2.58007762875614	4.67199198342839	1.71523992883384e-06	0.00095987853311534
AT4G31950	5.99549318260757	6.55886472028486	0.687625047121008	2.21490970014703e-06	0.00120408819613421
AT3G47380	3.00130034685578	3.00972066246925	3.29492742472426	2.39815642865003e-06	0.00125713224851626
AT3G22060	3.13801394816803	3.13913523421186	6.29402249803408	2.44462570006315e-06	0.00125713224851626
AT1G19380	2.16539335059928	2.16579346348255	6.74853582259993	2.83145718886973e-06	0.00141774041927959
AT5G48540	2.90452347900403	2.90568499491549	6.00310693410582	3.09185791127722e-06	0.00150843026866338
AT4G15417	3.37319097029888	3.38881549955818	2.82125452830884	4.25442142555189e-06	0.0020237219115994
AT5G02780	3.30607489085581	3.31674805856844	3.24341161658694	4.66656062274621e-06	0.00212265819842476
AT5G65600	3.04647885952296	3.07305425458653	1.7351389131264	4.68553341745098e-06	0.00212265819842476
AT4G03460	3.40152512350425	3.41061166578033	3.55886258997004	4.88390782766571e-06	0.00215078692257579
AT1G79680	3.36223713081906	3.38015199587418	2.59673323960572	4.97370182337388e-06	0.00215078692257579
AT3G26830	3.07715870198759	3.08011447834945	4.85220966089301	5.74802614842697e-06	0.00243039318946933
AT1G49000	3.35822891264375	3.36539602041484	3.86260759044936	7.42853984582857e-06	0.00287159753176263
AT2G24600	2.69140935924275	2.69218633463354	6.36327770374087	7.46344024141023e-06	0.00287159753176263
AT2G30750	3.90254362056915	3.91156138435822	4.08514085329234	7.50551765224465e-06	0.00287159753176263
AT3G26210	2.17666276525941	2.17736378143405	5.95184065021261	7.54528510491288e-06	0.00287159753176263
AT3G09405	2.5071474018999	2.51039657210414	4.10661327638115	7.54611218731968e-06	0.00287159753176263
AT1G55450	1.84950138226221	1.8496855273563	7.50961555311069	7.82645764680995e-06	0.00291988254207555
AT1G65690	2.50398206450381	2.50587223838476	4.89758217080514	9.38024182730875e-06	0.00343226656246545
AT2G39210	2.62468136259594	2.62527308998825	6.68250731715267	9.85539666546115e-06	0.00353808740290055
AT5G01550	3.15641874182171	3.17843300284476	2.1097864288678	1.09942855046213e-05	0.00387385685734128
AT5G25930	2.10465758962741	2.10625091146802	4.70594141625897	1.13386262844482e-05	0.00392254622389447
AT1G21110	2.40092978310829	2.40417499787924	4.00334145300557	1.24246168915052e-05	0.00417661913625168
AT2G13790	1.8630934710114	1.86375005306682	5.69531139926443	1.26071065062567e-05	0.00417661913625168
AT3G19010	2.20483943557751	2.20501146627375	8.00861115592375	1.27315872130445e-05	0.00417661913625168
AT4G23320	3.32416192397264	3.34916321854754	2.09784560963914	1.33925019445206e-05	0.00431896838132871
